,id,url,title,question,answer_summary,full_answer
10,11,https://islamqa.info/en/answers/11,Can One Make Up `Asr after Maghrib?,"Question

If a person missed `Asr (afternoon prayer), and when he arrived at the masjid he found Maghrib (sunset prayer) had started, what should he do?","If a person missed `Asr prayer and when he arrived to the mosque he found Maghrib prayer has started, he should pray Maghrib with the imam, then pray `Asr afterwards","Praise be to Allah.Sheikh Al-Islam Ibn Taimiyyah (may the mercy of Allah be upon him) said that if a person missed `Asr prayer and when he arrived to the mosque he found Maghrib prayer has started, he should pray Maghrib with the Imam then pray `Asr afterwards, as agreed upon by all leading scholars. 
The question of, “does he repeat Maghrib?” has two scholarly opinions:

The first is that he repeats Maghrib. This is the saying of Ibn `Umar, Malik, Abu Hanifah and Ahmad in what is most well-known about this issue. 
The second opinion is that he does not repeat Maghrib. This is the saying of Ibn `Abbas, the Shafi`i School of Fiqh, and the second opinion of Ahmad’s school of Fiqh.

The latter is more correct, for Allah did not make it obligatory on the person to offer a prayer twice if he has feared Allah as much as he can. (Majmu` Fatawa Ibn Taymiyyah 22/106)
For more details, please refer to the following answer: 49019 , 20013 , 96463 , 97455 , and 21616 .
And Allah knows best.
Source: From the book What Should You Do in the Following Situations...?"
11,12,https://islamqa.info/en/answers/12,How to pray if not sure imam is traveling or resident,"Question

                If a traveling person comes upon a congregation praying, and he does 
not know if: (1) the imam (prayer leader) is a traveler, meaning that he 
should join the prayer with the intention of qasr (shortening prayer), or 
(2) if he is resident, and thus should pray the complete prayer, what 
should he do?",,"Praise be to Allah.The answer that is apparent is: he acts based on what is clear 
  to him from the signs of travel on the imam from clothes or travel gear. 
  If it appears to him that the imam is resident, then he should pray the 
  complete prayer.
The evidence: what Imam Ahmad authenticated and narrated 
  that Ibn Abbas was asked: ""What is reason that the traveler prays 
  two rakaat (iterations of prayer) if he is alone and four rakaat 
  if he is led in [a full] prayer by a resident? So he said, that is the sunna 
  (tradition of the Prophet ), 
  and in another narration ""That is the sunna of Abi Al-Qasim.""
Take the case of one who assumes that the imam is a traveler, 
  and thus prays with him two rakaat with intention of qasr. Then, 
  after salaam (completion of prayer) with the imam, it becomes 
  clear to him [from speaking with others after the prayer, for example] that 
  the imam is actually a resident and that the two rakaat that he 
  had prayed were the imam’s third and fourth. In such an instance, 
  he should stand up and make two rakaat to complete the prayer, he makes 
  sujood sahw (an extra two prostrations). Whatever speaking was 
  done or questions asked to investigate do not harm his prayer.1
From the book What Should You Do in 
  the Following Situations... ?
1 Al-Majmooa lil-Nawawi 4/356"
12,13,https://islamqa.info/en/answers/13,Ability to stand changes while praying,"Question

                If a praying person suddenly cannot stand up for the remainder of the 
prayer, or he was unable to pray standing up so he was praying sitting 
down, then he became able to stand again, what should he do?",,"Praise be to Allah.Ibn Qudama, (may the mercy of Allah be upon him), said: 
  ""As soon as the ill person during prayer is able to do what he was not 
  able to do when he commenced the prayer, whether it be standing, sitting, bowing, 
  prostrating, or bowing, then he should move on and build on what has been already 
  completed from his prayer. The same if he began the prayer completely capable 
  of performing all actions, then suddenly became unable to perform certain actions. 
  In this case he continues praying in the best shape he can and builds on what 
  he previously had completed as though nothing has changed in his condition.""1 
  The evidence is: hadith Umran Bin Hossayn, (may Allah be pleased with 
  him), who said, ""I had bawaseer (hemorrhoids) so I asked the Prophet 
  (peace be upon him), about salaat, and he said: 'Pray standing up; if 
  you cannot, then sitting down; if you can not, then on your side.' ""2
From the book What Should You Do in 
  the Following Situations... ?
1 Al-Mughni maa al-Sharh al-Kabeer 
  1/782, and likewise in Al-Majmooa lil-Nawawi 4/318.
  2 Sunan Abu Dawood 922 and Sahih Sunan Abu Dawood 
  815"
13,14,https://islamqa.info/en/answers/14,"Movement while praying and preventing someone from 
passing.","Question

                What should one do if one is distracted during the prayer by something 
happening in ones environment, such as someone knocking on the 
door, or a child in danger, e.g. playing with an electrical outlet, etc., 
perhaps requiring him to move?",,"Praise be to Allah.If a person praying needs to do something relatively minor during 
  prayer, like opening a door and the like, it is OK as long as his direction 
  does not change from the qibla (direction of prayer). The evidence for 
  this is what Abu Dawood narrated that Aa'isha (may Allah be 
  pleased with her), said, ""The Messenger of Allah  
  (peace be upon him), used to pray with the door closed, so I arrived and asked 
  him to open it, so he came and opened it and returned to his prayer"" (the 
  narrator mentioned that the door was in the direction of the qibla).1
The same is true if a mother needed, while praying, to save her 
  child from danger or harm and the likesmall movement to the right or left, 
  or forward or backward, does not harm the prayer. Similarly if the ridaa 
  (upper body cover) falls off, the praying person can pick it up and if the izar 
  (lower body cover) became loose, then he can tighten it up. The sharia 
  (laws of Islam) have allowed for the praying person in some cases excessive 
  movement even if he were to change direction from qibla, as evident in 
  the hadith of Abu Huraira, (may Allah be pleased with him), where he 
  said: ""The Messenger of Allah  (peace be upon 
  him), said: Kill the two black things while in prayer: the snake and scorpion. 
  ""2
Also, preventing a person from passing in the place of prostration 
  by pushing (or even fighting him if he insists) is prescribed, as related in 
  Bukhari from hadith Abi Saleh Al-Samman, who said: ""I saw Aba 
  Saeed Al-Khudri on Friday praying with something in front of him to protect 
  him from [passing] people, and a young man from Bani Abi Muaet wanted to pass 
  in front of him in the place of prostration. So Abu Saeed pushed the mans 
  chest, so the man looked [around] and did not find any place from which to walk 
  except in front of him, so he tried to pass in front of him again. Abu Saeed 
  pushed him harsher than the first time, so he cursed Abu Saeed. Then the young 
  man went to Marwan and complained about Abu Saeeds action and Abu Saeed 
  entered after him at Marwans place so Marwan said: What is the matter 
  with you, doing that to your brothers son oh Abu Saeed.? He said: 
  I heard the Prophet  (peace be upon him) saying: 
  ""If one of you prays with something in front of him protecting him from 
  [passing] people, and someone wants to pass in front of him, then he should 
  push him, and if he refuses to [turn back], then fight him, for he is a shaitan 
  (satan).""3
From the book What Should You Do in 
  the Following Situations... ?
1 Sunan Abu Dawood, number 
  922, and Sahih Sunan Abu Dawood 815.2 Sunan Abu Dawood, 
  number 921, and Sahih Sunan Abu Dawood 814.3 Narrated al-Bukhari 
  Fath 1/582."
14,15,https://islamqa.info/en/answers/15,How Do You Respond to Salam while Praying?,"Question

If As-salam (the greeting of Islam) was said to someone during his prayer, what should he do?","If someone greets you while you are praying, you may respond with a gesture. Suhayb said: ""I passed by the Messenger of Allah while he was praying and I said Salam to him and he replied with a gesture.""","Praise be to Allah.If someone greets you while you are praying , you may respond with a gesture. Suhayb (May Allah be please with him) said: ""I passed by the Messenger of Allah (blessings and peace of Allah be upon him), while he was praying and I said Salam to him and he replied with a gesture ."" 

The description of the gesture was narrated in many Hadiths, one of which is from Ibn `Umar (May Allah be pleased with him), who said: The Messenger of Allah (peace be upon him) went to Quba’ (first mosque in Madinah) to pray. He said that the Ansar (residents of Madinah) came to him and said Salam to him while he was praying . He said, ""So, I said to Bilal, ‘How did you see the Messenger of Allah (peace be upon him) reply to them when they said Salam to him while he was praying?’"" He said that he said, ""Like this"" and he flattened his hand. 
Jafar ibn Awn (one of the narrators) flattened his hand and made the bottom of the hand facing down and the back of the hand facing up. (From the book What Should You Do in the Following Situations...?”
And Allah knows best."
15,16,https://islamqa.info/en/answers/16,"Joining the imam immediately in whatever position he is 
in","Question

                If a man enters the masjid while the imam (leader of prayer) is praying. 
Should he join the imam immediately in whatever position he is in and 
start praying, or should he wait to find out whether the imam is going to 
sit or stand?",,"Praise be to Allah.The correct answer is the one to which the evidence points. And 
  that is that he should enter with the imam no matter what part of prayer 
  the imam is insujood (prostration), qiyaam (standing), 
  rukuu' (bowing) or qu'ood (sitting). The evidence is the hadith 
  of Abi Huraira (may Allah be pleased with him), in which he said, ""The 
  Messenger of Allah  (peace be upon him) said, 'If 
  you come to prayer and we are prostrating, then you should prostrate [but] dont 
  count it, and whoever catches a rakaa, then he has caught the 
  salaat'.""1 
  And Muath said that [the Prophet]  (peace 
  be upon him) has said ""If one of you comes to prayer and the Imam is in 
  a certain position, then do as the Imam is doing"".2 
  Also, the general meaning of his saying (peace be upon him), applies: ""What 
  you catch up with, pray.""
From the book What Should You Do in 
  the Following Situations... ?
1 Sunan Abu Dawood 893 
  and Sahih Sunan Abu Dawood 792.2 Sunan Al-Tirmidhi 591 
  and Sahih Sunan Al-Tirmidhi 484.."
16,17,https://islamqa.info/en/answers/17,On rushing or running when prayer is called,"Question

                What should a person do if prayer starts and a person is still on his way 
to the masjid?",,"Praise be to Allah.If prayer starts and a person is still on his way to the masjid, 
  then he should not hurry in his walk; instead, he should walk with calmness 
  and respect as indicated in the hadith of Abi Huraira (may Allah be 
  pleased with him), in which he said: [The Prophet]  
  (peace be upon him) said: ""If salaat is started, do not approach 
  it running, but approach it walking, with calmness. Whatever you catch up with, 
  pray, and what you miss, complete it.""1
From the book What Should You Do in 
  the Following Situations... ?
1 Narrated by Al-Bukhari 
  Fath 2/390."
17,18,https://islamqa.info/en/answers/18,Repentance (tawbah) from murder,"Question

                How does a murderer repent for his sin?",,"Praise be to Allah.A murderer has three rights on him. That of Allah, that of the murdered person, and 
those of his or her immediate kin. 
As for Allah's right it cannot be requited but with true repentance. 
The right of the immediate kin can be requited by the murderer by handing himself over 
to them in order that they either: a) turn him over to the authorities for execution; b) 
accept monetary compensation from him; or c) forgive him. 
The right of the person himself who was murdered cannot be compensated for in this 
world. Some scholars are of the opinion - and this seems to be the preferable opinion - 
that if the murderer is true in his repentance, Allah will clear him of his sin and 
compensate on his behalf by satisfying the person murdered on the Day of Judgment."
18,19,https://islamqa.info/en/answers/19,Repentance of a Thief,"Question

How does a thief repent?",,"Praise be to Allah.If what he has stolen is still in his possession it should be returned to the owner. If it has been used or disposed of, then an amount equivalent to its value should be returned to the owner--unless the owner is willing to forgive.
And Allah knows best."
19,20,https://islamqa.info/en/answers/20,Repentance From Stealing,"Question

I find it extremely difficult to go back to those whom I had stolen from, nor can I ever confess to them in order to gain their forgiveness. What should I do?",,"Praise be to Allah.It is not necessary for you to face the embarrassment of informing them yourself, or offering compensation in person. You can send their dues to them by, for example, mail, or through another person without revealing your identity. You can also place it in their sight without their knowledge, or say to them if you have to go in person that ""someone"" - who doesn't like to reveal his name - says this is your property. In short, the important thing is to return rightful property to the people who it was taken from.
And Allah knows best."
20,21,https://islamqa.info/en/answers/21,Returning stolen money when amount unknown,"Question

                I used to steal money on and off from my father's pocket. Now I do not 
know how much I stole, nor can I admit to him now. What shall I do?",,"Praise be to Allah.Try and estimate to the best of your memory the total amount you have stolen, and 
return it. And there is no harm if you return it as secretly as you took it."
21,23,https://islamqa.info/en/answers/23,Returning stolen money when profits have been made from it,"Question

                I swindled some money from some orphans. Then I invested it in a trade 
and it proved to be very profitable so that it came back to me manifold. 
But fear of Allah has overtaken me and I want to repent. How do I do it?",,"Praise be to Allah.The scholars have expressed different opinions. The moderate and most just opinion is 
that you return the entire original sum to the orphans plus half of the profits, as if you 
and they had been partners with their capital and your labor, hence the division. 
This ruling has come from Imam AHED. It is also the opinion of Ibn Taymiyya which 
his pupil Imam Ibn ul-Qayyim prefers. This also applies to the situation in which you 
have rustled a cattle which gives birth to calves. The cattle must be returned and the 
calves must be split. If the original cattle dies then its price plus half of its calves must 
be returned."
22,24,https://islamqa.info/en/answers/24,Returning stolen property that has depreciated or become obsolete,"Question

                A man works in an air transport company. He steals a tape-recorder. After 
many years he repents. Now, should he return the same transistor radio, or 
a similar model or its equivalent price, especially considering that the 
original model is not sold in the markets now?",,"Praise be to Allah.He must return the same piece along with an additional amount equal to the reduction in 
its value that has resulted due to its usage or the course of time. Of course it is to be 
accomplished in a suitable manner without causing himself harm. However if that is 
impractical or infeasible then he can give in charity an equivalent amount in the name of 
the original owner."
23,25,https://islamqa.info/en/answers/25,Repentance from Interest After Having Spent it All,"Question

I used to have money earned from usury or interest (riba), but I have spent it all and none of it remains with me. Now I want to repent. What am I required to do?",,"Praise be to Allah.Nothing is required of you except repentance and seeking forgiveness from your Lord. Note that riba is a very serious and grave issue, seeing that Allah did not declare war in the Quran against anyone except the one who accepts riba. Since the money earned from riba has all gone, then there is nothing due from you in its regard.
And Allah knows best."
24,26,https://islamqa.info/en/answers/26,Lawful and Unlawful Money Mixed,"Question

                What should a person do with the profits he made from selling cigarettes, when it has been mixed with other lawful money?",,"Praise be to Allah.
    He who has 
    done business in things that are prohibited in Islam, such as musical 
    instruments, prohibited cassettes, cigarettes etc. while knowing the ruling 
    on them then wishes to repent, needs to give away in charity all the profits 
    he made from them. This will be a means of purification and will not be 
    counted as spending in the way of Allah, for Allah is pure and does not 
    accept but the pure.

    Further, if 
    this money gets mixed up with other earnings, as in the case of a shop owner 
    who sells many other items, then if he can compute the amount of profits 
    made from them, he should do so in the hope of purifying the rest of his 
    earnings.

    In other 
    words, he who has some money earned through unlawful means and intends to 
    repent, should:

          
    1- If he was an unbeliever at the time of earning the money, he is not 
    obliged to atone for them or seek their purification. For the Prophet (peace 
    and blessings of Allah be upon him) did not demand from his followers that 
    they purify their wealth after coming into the fold of Islam.

          
    2- If he was Muslim at the time of earning the money, well aware of its 
    Islamic ban and prohibition, then he should separate it out at the time of 
    repentance."
25,27,https://islamqa.info/en/answers/27,Repentance from Past Unlawful Income,"Question

What should a person do with the profits he made from selling cigarettes, when it has been mixed with other lawful money?",,"Praise be to Allah.He who has done business in things that are prohibited in Islam, such as musical instruments, prohibited cassettes, cigarettes, etc. while knowing the ruling on them then wishes to repent, needs to give away in charity all the profits he made from them. This will be a means of purification and will not be counted as spending in the way of Allah, for Allah is pure and does not accept but the pure.
Further, if this money gets mixed up with other earnings, as in the case of a shop owner who sells many other items, then if he can compute the amount of profits made from them, he should do so in the hope of purifying the rest of his earnings.
In other words, he who has some money earned through unlawful means and intends to repent, should:
If he was an unbeliever at the time of earning the money, he is not obliged to atone for them or seek their purification. For the Prophet (peace and blessings of Allah be upon him) did not demand from his followers that they purify their wealth after coming into the fold of Islam. If he was a Muslim at the time of earning the money, well aware of its Islamic ban and prohibition, then he should separate it out at the time of repentance.
And Allah knows best."
26,28,https://islamqa.info/en/answers/28,Repentance from Accepting Bribes,"Question

A man used to accept bribes. Then Allah guided him to righteousness. What should he do with what he used to earn as bribes?",,"Praise be to Allah.There can be two situations.
Either the bribes he used to accept were from those that had been wronged who had to offer bribes as a means of obtaining what was their right, in which case the repentant should return them their amounts or articles or whatever, for what he took from them is considered as having been taken by force or through deceit. Or, the bribe was taken from an unjust (zalim) man like he was himself before he repented. That is, someone who achieved or attained things via bribes which were not his right. This amount is not to be returned to him. Instead the repentant should spend it in a charitable way, such as on the poor and the destitute. Likewise, he must repent from the harm he caused to people by giving their right away to others who had no right to them, but rather obtained them via the use of bribes.
And Allah knows best."
27,29,https://islamqa.info/en/answers/29,Money earned from doing forbidden things,"Question

                I used to do forbidden things and get paid for them. Now I have 
repented. Do I have to return the amounts thus earned?",,"Praise be to Allah.Yes, one who commits haram (forbidden) deeds and accepts payments for them, should 
get rid of the amounts earned from them when he repents. But such amounts should not be 
returned to those who paid them.
For instance, when a call-girl repents, she should not return her wages of sin to her 
customers. When a singer repents he should not return the wages he earned to the band to 
which he belonged or the party which paid. When a man who used to sell wine or drugs 
repents he should not return the amounts to those who used to buy from him. Nor should he 
who used to swear for others as a false witness return the amounts he earned to those for 
whose benefit he used to swear. The reason being that if he returns the amounts to him who 
paid, then he will be depositing with him both the unlawful money as well as the unlawful 
commodity that he took through bribe or wages of sin. Therefore it will be enough if he gets 
rid of such unlawful earning himself. This is the preference of Sheikh al-Islam Ibn 
Taimiyyah as well as his pupil Ibn ul-Qayyim as stated in his Madarij."
28,30,https://islamqa.info/en/answers/30,Using clothing of the kuffar (unbelievers),"Question

What is the ruling on using clothing of the kuffar (unbelievers)?",,"Praise be to Allah.The use of clothing of the kuffar (unbelievers) which they have worn is permissible as long as there is no known najasa (impurity) regarding it, because the default for things in general is tahaarah (purity) and it is not overridden by mere doubt. Likewise, what they have woven and dyed and what has been imported from their countries are also permissible, as long as they do not comprise anything haram (forbidden), because the Prophet (peace be upon him) and his sahaba (his companions) wore items the kuffar had woven and made, and likewise the Prophet (peace be upon him) wore a Roman jubba (a long outer garment, open in front, with wide sleeves)."
29,31,https://islamqa.info/en/answers/31,Types of ‘Iddah,"Question

What are the different types of ‘iddah (waiting period) and what are their extents?",,"Praise be to Allah.According to the Islamic Shari`ah, the iddah is a waiting period with certain exigencies required of a woman when the appropriate condition exists; either divorce or death of her husband. 
As for divorce , the ‘iddah for a pregnant woman is until she delivers her child. 
The ‘iddah for one who still menstruates, is three menstrual cycles, whereas for one who is either too young or too old to menstruate, it is three months.
As for the widow whose husband has passed away, if she is pregnant then her ‘iddah is until she delivers her child; otherwise, it is four months and ten days.
And Allah knows best."
